GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Not difficult at all,League of Legends,2,1,1,Male,22,Student at college / university,Bachelor (or equivalent),USA,30,13,2
Not difficult at all,League of Legends,21,1,4,Male,21,Student at college / university,High school diploma (or equivalent),POL,15,11,8
Not difficult at all,League of Legends,18,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,31,5,0
Very difficult,League of Legends,12,1,1,Male,30,Employed,High school diploma (or equivalent),USA,16,21,15
Not difficult at all,League of Legends,15,0,2,Male,22,Student at college / university,High school diploma (or equivalent),ARG,25,6,1
Somewhat difficult,League of Legends,35,1,1,Male,18,Student at college / university,Bachelor (or equivalent),ESP,26,10,2
Not difficult at all,League of Legends,20,1,1,Male,18,Student at school,High school diploma (or equivalent),DEU,22,8,2
Not difficult at all,League of Legends,10,1,1,Male,18,Student at school,None,MKD,29,4,7
Extremely difficult,League of Legends,15,1,1,Male,21,Student at college / university,High school diploma (or equivalent),CAN,13,9,9
Not difficult at all,League of Legends,20,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,20,5,5
Somewhat difficult,League of Legends,4,1,3,Male,28,Employed,Master (or equivalent),MAR,15,20,12
Somewhat difficult,League of Legends,40,1,2,Male,19,Unemployed / between jobs,High school diploma (or equivalent),SWE,18,27,4
Very difficult,League of Legends,25,1,2,Male,18,Student at college / university,High school diploma (or equivalent),DEU,16,36,8
Not difficult at all,League of Legends,20,1,1,Male,21,Student at college / university,Bachelor (or equivalent),USA,29,9,1
Somewhat difficult,League of Legends,20,1,3,Male,20,Student at school,High school diploma (or equivalent),DEU,19,14,5
Not difficult at all,League of Legends,20,1,1,Male,24,Unemployed / between jobs,High school diploma (or equivalent),DNK,18,30,4
Not difficult at all,League of Legends,50,1,4,Male,20,Student at college / university,High school diploma (or equivalent),CAN,14,8,1
Somewhat difficult,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),NLD,21,12,6
Somewhat difficult,League of Legends,50,1,3,Male,20,Student at school,Bachelor (or equivalent),FIN,14,NA,3
Not difficult at all,League of Legends,25,1,4,Male,18,Student at school,None,DEU,30,9,3
Somewhat difficult,League of Legends,10,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,24,11,4
Not difficult at all,League of Legends,25,1,1,Male,24,Student at college / university,High school diploma (or equivalent),BEL,10,28,6
Not difficult at all,League of Legends,28,1,1,Male,19,Student at school,High school diploma (or equivalent),CAN,18,35,11
Not difficult at all,League of Legends,10,1,2,Male,19,Student at school,High school diploma (or equivalent),DEU,14,14,2
Somewhat difficult,League of Legends,4,1,3,Male,20,Student at college / university,High school diploma (or equivalent),CAN,8,22,14
Somewhat difficult,League of Legends,16,1,2,Male,20,Student at college / university,High school diploma (or equivalent),SGP,12,46,5
Not difficult at all,League of Legends,3,1,1,Male,21,Student at college / university,Bachelor (or equivalent),NLD,27,14,4
Not difficult at all,League of Legends,2,1,2,Male,38,Employed,Master (or equivalent),DEU,32,7,1
Not difficult at all,League of Legends,50,1,2,Male,18,Student at school,High school diploma (or equivalent),DEU,29,19,3
Somewhat difficult,League of Legends,24,1,2,Male,20,Student at college / university,High school diploma (or equivalent),DEU,20,6,6
