GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Not difficult at all,League of Legends,20,1,1,Male,20,Student at college / university,High school diploma (or equivalent),CZE,23,13,0
Not difficult at all,League of Legends,8,1,1,Male,23,Employed,Bachelor (or equivalent),GBR,28,6,2
Not difficult at all,League of Legends,48,1,1,Male,23,Unemployed / between jobs,High school diploma (or equivalent),PHL,12,45,16
Somewhat difficult,League of Legends,16,1,1,Male,23,Student at college / university,High school diploma (or equivalent),DEU,25,29,3
Somewhat difficult,League of Legends,2,0,2,Male,20,Student at college / university,High school diploma (or equivalent),MKD,21,NA,13
Somewhat difficult,League of Legends,25,1,2,Male,21,Unemployed / between jobs,High school diploma (or equivalent),USA,17,31,5
Not difficult at all,League of Legends,10,1,1,Male,27,Employed,Bachelor (or equivalent),POL,28,NA,3
Somewhat difficult,League of Legends,14,1,1,Male,25,Student at college / university,High school diploma (or equivalent),VEN,17,15,5
Not difficult at all,League of Legends,5,1,2,Male,21,Student at college / university,Bachelor (or equivalent),USA,27,37,2
Somewhat difficult,League of Legends,12,1,2,Male,18,Student at school,None,SWE,17,17,19
Not difficult at all,League of Legends,30,1,1,Male,26,Employed,High school diploma (or equivalent),CAN,5,26,8
Somewhat difficult,League of Legends,4,1,1,Male,21,Student at college / university,Bachelor (or equivalent),BRA,13,28,4
Somewhat difficult,League of Legends,55,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),NOR,12,50,5
Somewhat difficult,League of Legends,30,1,2,Male,18,Student at college / university,High school diploma (or equivalent),BRA,19,13,5
Somewhat difficult,League of Legends,5,1,1,Male,18,Student at school,High school diploma (or equivalent),GBR,22,12,2
Not difficult at all,League of Legends,40,1,3,Male,18,Student at school,High school diploma (or equivalent),HUN,26,12,1
Not difficult at all,League of Legends,40,1,2,Male,24,Employed,High school diploma (or equivalent),NA,17,18,0
Somewhat difficult,League of Legends,24,1,3,Male,18,Student at college / university,High school diploma (or equivalent),NLD,19,24,10
Very difficult,League of Legends,42,1,2,Male,18,Student at school,None,USA,19,34,10
Very difficult,League of Legends,28,1,2,Male,20,Student at college / university,None,SVK,10,23,3
Not difficult at all,League of Legends,8,1,2,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,20,1,2
Not difficult at all,League of Legends,16,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,21,48,1
Extremely difficult,League of Legends,30,1,1,Male,21,Student at college / university,Bachelor (or equivalent),GBR,9,16,16
Not difficult at all,League of Legends,29,1,4,Male,18,Student at college / university,High school diploma (or equivalent),AUS,29,6,2
NA,League of Legends,2,1,2,Male,18,Student at college / university,High school diploma (or equivalent),BRA,15,28,0
Very difficult,League of Legends,16,1,3,Male,19,Student at college / university,High school diploma (or equivalent),USA,14,54,13
Somewhat difficult,League of Legends,15,1,1,Female,29,Employed,High school diploma (or equivalent),USA,27,19,7
Not difficult at all,League of Legends,12,1,2,Male,19,Student at school,High school diploma (or equivalent),DEU,18,24,2
Not difficult at all,League of Legends,25,1,3,Male,23,Employed,High school diploma (or equivalent),USA,29,0,4
Not difficult at all,League of Legends,20,1,2,Male,22,Student at college / university,Bachelor (or equivalent),FRA,18,10,0
Somewhat difficult,League of Legends,21,1,1,Male,23,Unemployed / between jobs,High school diploma (or equivalent),DEU,18,50,6
Somewhat difficult,League of Legends,25,1,2,Male,18,Student at college / university,High school diploma (or equivalent),GBR,19,16,6
Not difficult at all,League of Legends,25,1,1,Male,20,Student at college / university,High school diploma (or equivalent),NLD,28,29,1
Somewhat difficult,League of Legends,10,1,3,Male,21,Student at college / university,High school diploma (or equivalent),USA,30,5,14
Not difficult at all,League of Legends,35,1,4,Male,19,Student at college / university,High school diploma (or equivalent),USA,35,64,0
Extremely difficult,League of Legends,30,1,4,Male,19,Student at school,None,NLD,11,36,7
Somewhat difficult,League of Legends,25,1,4,Male,25,Student at college / university,High school diploma (or equivalent),DEU,18,12,3
Somewhat difficult,League of Legends,10,1,4,Male,21,Student at college / university,Bachelor (or equivalent),FRA,29,23,3
Somewhat difficult,League of Legends,15,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,15,NA,8
Not difficult at all,League of Legends,65,1,3,Male,18,Student at school,None,ISL,28,5,2
Not difficult at all,League of Legends,5,1,3,Male,18,Student at school,High school diploma (or equivalent),DEU,20,24,5
Somewhat difficult,League of Legends,10,1,2,Male,18,Student at school,None,CAN,21,33,16
Somewhat difficult,League of Legends,15,1,2,Male,24,Unemployed / between jobs,Bachelor (or equivalent),GBR,17,17,1
Not difficult at all,League of Legends,16,1,1,Male,19,Student at college / university,High school diploma (or equivalent),NZL,17,11,3
Extremely difficult,League of Legends,25,1,2,Male,20,Student at college / university,High school diploma (or equivalent),DNK,15,23,16
Not difficult at all,League of Legends,10,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,17,NA,0
Extremely difficult,League of Legends,2,1,1,Male,19,Student at college / university,Bachelor (or equivalent),PRT,11,31,13
Somewhat difficult,League of Legends,24,1,2,Male,22,Student at college / university,High school diploma (or equivalent),SWE,17,11,4
Not difficult at all,League of Legends,12,1,1,Male,25,Unemployed / between jobs,High school diploma (or equivalent),FRA,13,26,0
Somewhat difficult,League of Legends,12,1,2,Male,20,Student at college / university,High school diploma (or equivalent),DEU,19,13,3
Not difficult at all,League of Legends,20,1,1,Male,24,Student at college / university,High school diploma (or equivalent),BEL,28,19,2
NA,League of Legends,15,1,1,Male,18,Student at school,None,USA,30,2,0
Not difficult at all,League of Legends,4,0,1,Female,19,Student at college / university,High school diploma (or equivalent),USA,7,43,0
Somewhat difficult,League of Legends,20,1,3,Male,19,Student at college / university,High school diploma (or equivalent),ESP,22,12,10
Somewhat difficult,League of Legends,28,1,4,Male,18,Student at school,None,BEL,8,34,5
Somewhat difficult,League of Legends,60,1,5,Male,20,Student at college / university,None,NOR,31,17,10
Not difficult at all,League of Legends,20,1,1,Male,22,Student at college / university,Bachelor (or equivalent),USA,16,13,4
Not difficult at all,League of Legends,30,1,2,Male,21,Employed,High school diploma (or equivalent),USA,19,7,2
Somewhat difficult,League of Legends,5,1,2,Male,19,Unemployed / between jobs,High school diploma (or equivalent),DEU,10,15,6
Somewhat difficult,League of Legends,20,0,1,Male,19,Student at school,None,USA,8,15,3
Not difficult at all,League of Legends,10,1,1,Male,19,Student at school,High school diploma (or equivalent),DEU,15,34,3
Not difficult at all,League of Legends,20,1,2,Male,23,Student at college / university,High school diploma (or equivalent),USA,23,19,3
Not difficult at all,League of Legends,30,1,3,Male,21,Employed,Bachelor (or equivalent),USA,22,16,5
Not difficult at all,League of Legends,30,1,1,Male,18,Student at school,None,USA,30,40,1
Not difficult at all,League of Legends,30,1,1,Male,20,Student at college / university,High school diploma (or equivalent),DEU,20,20,5
Not difficult at all,League of Legends,5,0,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,25,13,5
Somewhat difficult,League of Legends,20,1,1,Male,25,Employed,Master (or equivalent),FRA,21,18,4
Not difficult at all,League of Legends,10,1,1,Male,19,Student at school,High school diploma (or equivalent),PRT,24,4,1
Very difficult,League of Legends,40,1,2,Male,19,Unemployed / between jobs,Bachelor (or equivalent),GBR,8,46,21
Very difficult,League of Legends,50,1,4,Male,18,Student at school,High school diploma (or equivalent),MEX,30,17,13
Not difficult at all,League of Legends,21,1,5,Male,19,Employed,High school diploma (or equivalent),ARG,15,4,14
Not difficult at all,League of Legends,30,1,5,Male,22,Employed,High school diploma (or equivalent),CAN,9,4,1
Not difficult at all,League of Legends,10,1,1,Male,18,Student at school,None,SRB,23,1,10
Somewhat difficult,League of Legends,40,1,3,Male,19,Student at college / university,High school diploma (or equivalent),GBR,21,6,2
Somewhat difficult,League of Legends,10,1,2,Male,26,Student at college / university,Bachelor (or equivalent),DEU,12,30,6
Somewhat difficult,League of Legends,12,1,3,Male,18,Student at college / university,High school diploma (or equivalent),CAN,17,9,12
Not difficult at all,League of Legends,10,1,2,Male,18,Student at college / university,High school diploma (or equivalent),CHE,20,22,3
Very difficult,League of Legends,5,1,2,Male,21,Student at college / university,High school diploma (or equivalent),DEU,16,27,4
Not difficult at all,League of Legends,25,1,2,Male,19,Student at college / university,High school diploma (or equivalent),CAN,25,6,1
Not difficult at all,League of Legends,3,1,2,Male,20,Student at college / university,High school diploma (or equivalent),DEU,23,6,4
Somewhat difficult,League of Legends,10,1,1,Male,20,Student at college / university,High school diploma (or equivalent),CAN,21,13,5
Somewhat difficult,League of Legends,6,0,2,Male,27,Employed,Master (or equivalent),USA,31,18,4
NA,League of Legends,10,1,3,Male,23,Student at college / university,High school diploma (or equivalent),AUT,29,0,0
Not difficult at all,League of Legends,10,1,1,Male,24,Employed,High school diploma (or equivalent),NLD,18,21,2
Somewhat difficult,League of Legends,50,1,3,Male,22,Unemployed / between jobs,High school diploma (or equivalent),DEU,6,26,10
Somewhat difficult,League of Legends,10,1,1,Male,22,Student at school,High school diploma (or equivalent),DEU,29,8,4
Somewhat difficult,League of Legends,20,1,3,Male,21,Student at college / university,High school diploma (or equivalent),DEU,7,45,6
Somewhat difficult,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,13,39,6
Somewhat difficult,League of Legends,30,1,1,Male,25,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",GBR,27,14,8
Not difficult at all,League of Legends,20,1,2,Male,19,Student at college / university,High school diploma (or equivalent),NLD,18,8,2
Somewhat difficult,League of Legends,40,1,1,Male,23,Unemployed / between jobs,Bachelor (or equivalent),GBR,15,39,7
Somewhat difficult,League of Legends,20,1,1,Female,22,Student at college / university,Bachelor (or equivalent),DEU,24,16,7
Not difficult at all,League of Legends,29,0,1,Male,20,Employed,High school diploma (or equivalent),CAN,27,3,4
Somewhat difficult,League of Legends,10,1,4,Male,28,Student at college / university,Bachelor (or equivalent),DEU,7,20,12
Somewhat difficult,League of Legends,15,1,2,Male,22,Employed,High school diploma (or equivalent),USA,21,37,9
Somewhat difficult,League of Legends,21,1,1,Male,23,Unemployed / between jobs,High school diploma (or equivalent),USA,9,45,5
Somewhat difficult,League of Legends,45,1,3,Male,18,Student at college / university,Bachelor (or equivalent),CHE,17,29,7
Not difficult at all,League of Legends,8,1,1,Male,22,Employed,High school diploma (or equivalent),SWE,21,24,3
Somewhat difficult,League of Legends,10,1,3,Male,25,Employed,High school diploma (or equivalent),USA,28,3,2
Not difficult at all,League of Legends,20,1,1,Male,18,Student at college / university,High school diploma (or equivalent),PRT,18,22,2
Somewhat difficult,League of Legends,28,1,1,Male,24,Student at college / university,Bachelor (or equivalent),AUT,26,18,3
Somewhat difficult,League of Legends,12,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,22,13,9
Extremely difficult,League of Legends,15,1,3,Male,22,Student at college / university,High school diploma (or equivalent),USA,6,46,19
Not difficult at all,League of Legends,10,1,2,Male,26,Employed,Bachelor (or equivalent),SWE,29,0,6
Not difficult at all,League of Legends,11,1,1,Male,31,Employed,High school diploma (or equivalent),GBR,30,13,1
Somewhat difficult,League of Legends,20,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,22,3,5
Not difficult at all,League of Legends,16,1,1,Male,21,Student at college / university,High school diploma (or equivalent),DEU,16,17,6
Somewhat difficult,League of Legends,15,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),CAN,17,11,1
Very difficult,League of Legends,14,1,4,Male,20,Employed,Bachelor (or equivalent),NLD,10,27,10
Somewhat difficult,League of Legends,15,0,4,Male,20,Student at college / university,High school diploma (or equivalent),USA,11,40,12
Somewhat difficult,League of Legends,20,1,3,Female,19,Student at school,High school diploma (or equivalent),DEU,15,NA,7
Very difficult,League of Legends,18,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),GBR,11,20,16
Not difficult at all,League of Legends,8,1,2,Male,20,Student at college / university,High school diploma (or equivalent),DEU,23,19,1
Not difficult at all,League of Legends,25,1,2,Male,25,Employed,High school diploma (or equivalent),USA,26,19,5
Somewhat difficult,League of Legends,21,1,2,Male,27,Employed,Bachelor (or equivalent),BEL,30,18,5
Somewhat difficult,League of Legends,3,1,2,Female,21,Unemployed / between jobs,High school diploma (or equivalent),FIN,12,41,11
NA,League of Legends,30,1,1,Male,18,Employed,High school diploma (or equivalent),AUT,23,8,0
Extremely difficult,League of Legends,20,1,1,Male,25,Student at college / university,Bachelor (or equivalent),NLD,19,38,16
Not difficult at all,League of Legends,20,1,2,Male,19,Student at college / university,High school diploma (or equivalent),ITA,16,NA,9
Not difficult at all,League of Legends,25,1,1,Male,18,Student at school,None,USA,18,NA,3
Somewhat difficult,League of Legends,7,1,1,Male,19,Student at college / university,High school diploma (or equivalent),GBR,24,10,2
Somewhat difficult,League of Legends,12,1,1,Female,24,Employed,Bachelor (or equivalent),USA,20,25,7
Somewhat difficult,League of Legends,20,1,3,Male,23,Employed,High school diploma (or equivalent),USA,27,2,21
Not difficult at all,League of Legends,20,1,1,Male,29,Employed,High school diploma (or equivalent),CAN,16,9,3
Somewhat difficult,League of Legends,8,1,4,Male,21,Employed,Bachelor (or equivalent),ESP,10,50,2
Not difficult at all,League of Legends,12,1,2,Male,22,Student at college / university,High school diploma (or equivalent),CAN,26,9,0
Not difficult at all,League of Legends,28,1,4,Male,24,Student at college / university,Master (or equivalent),FRA,30,6,1
